No Hints Yet

C-l TAB     | will reformat the buffer
C-l k       | will kill all other buffers
C-l t       | will toggle tab with 1/2/4/6/8
C-l h       | Navigate to this file
C-c g       | ggtags prefix key
M-y         | yank pop
M-7,<f7>    | copy to register
M-8,<f8>    | insert-register
C-c r       | replace string
C-c R       | replace regular expression
C-c q       | query replace
C-c q       | query replace expression

cc mode

C-c z       | indent with gnu indent
C-c x       | mark the current function
M-.         | find tag
M-?         | show definition
M-,         | jump to previous mark

dired mode

C-c o       | use xdg-open to open file
C-c C-o     | toggle omit mode
